,title,price,year,link,brand,age,log_price,log_age
61,2008 nissan altima (read description),1350,2008.0,https://charlottesville.craigslist.org/cto/d/ruckersville-2008-nissan-altima-read-de/7783180089.html,missing,17.0,7.2078598714324755,2.833213344056216
62,2016 tesla model s 90d,26000,2016.0,https://charlottesville.craigslist.org/cto/d/crozet-2016-tesla-model-90d/7783168254.html,tesla,9.0,10.165851817003619,2.1972245773362196
63,2010 volkswagen golf,4950,2010.0,https://charlottesville.craigslist.org/cto/d/henrico-2010-volkswagen-golf/7783125171.html,volkswagen,15.0,8.507142855562735,2.70805020110221
64,1963 /1965 triumph tr4 convertible,2250,1963.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-triumph-tr4-convertible/7782965513.html,missing,62.0,7.718685495198466,4.127134385045092
65,1998 jeep grande cherokee laredo,3000,1998.0,https://charlottesville.craigslist.org/cto/d/waynesboro-1998-jeep-grande-cherokee/7782899240.html,jeep,27.0,8.006367567650246,3.295836866004329
66,1996 chevrolet k1500 z71,6500,1996.0,https://charlottesville.craigslist.org/cto/d/keswick-1996-chevrolet-k1500-z71/7782892110.html,chevrolet,29.0,8.779557455883728,3.367295829986474
67,1971 sport convertible,25000,1971.0,https://charlottesville.craigslist.org/cto/d/culpeper-1971-sport-convertible/7782818548.html,missing,54.0,10.126631103850338,3.9889840465642745
68,dodge dakota 4wd,10000,,https://charlottesville.craigslist.org/cto/d/charlottesville-dodge-dakota-4wd/7782614108.html,dodge,,9.210340371976184,
69,2014 bmw x3 with blown engine,3000,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-bmw-x3-with-blown/7782218430.html,bmw,11.0,8.006367567650246,2.3978952727983707
70,ford f150 5.4 triton,7250,,https://charlottesville.craigslist.org/cto/d/fishersville-ford-triton/7782209120.html,ford,,8.88875674784872,
71,"2007 ford xlt fx, 4-dr., supercab, sidestyle, 5.4-liter v8",8300,2007.0,https://charlottesville.craigslist.org/cto/d/crozet-2007-ford-xlt-fx-dr-supercab/7782091017.html,ford,18.0,9.02401079378469,2.8903717578961645
72,1999 mx-5 miata covertible coupe,6500,1999.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1999-mx-miata/7781918639.html,missing,26.0,8.779557455883728,3.258096538021482
73,dodge 4x4 slt,6000,,https://charlottesville.craigslist.org/cto/d/crozet-dodge-4x4-slt/7781868229.html,dodge,,8.699514748210191,
74,1992 honda accord gas sipper,2899,1992.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1992-honda-accord-gas/7781862579.html,honda,33.0,7.972121128921655,3.4965075614664802
75,2003 jeep wrangler,19000,2003.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2003-jeep-wrangler/7781774156.html,jeep,22.0,9.852194258148577,3.091042453358316
76,yes i have title,2800,,https://charlottesville.craigslist.org/cto/d/charlottesville-yes-have-title/7781670977.html,missing,,7.937374696163295,
77,2016 kia sorento,9500,2016.0,https://charlottesville.craigslist.org/cto/d/haywood-2016-kia-sorento/7781590995.html,kia,9.0,9.159047077588632,2.1972245773362196
78,2008 acura tl,3500,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-acura-tl/7781590435.html,acura,17.0,8.160518247477505,2.833213344056216
79,*for sale* subaru outback 2007,3500,2007.0,https://charlottesville.craigslist.org/cto/d/gordonsville-for-sale-subaru-outback/7781590306.html,subaru,18.0,8.160518247477505,2.8903717578961645
80,audi allroad,11665,,https://charlottesville.craigslist.org/cto/d/charlottesville-audi-allroad/7781459189.html,audi,,9.36434818445553,
81,2004 f150,3000,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-f150/7781429289.html,missing,21.0,8.006367567650246,3.044522437723423
82,2011 mercury gran marquis ls,3600,2011.0,https://charlottesville.craigslist.org/cto/d/stanardsville-2011-mercury-gran-marquis/7781391243.html,missing,14.0,8.1886891244442,2.6390573296152584
83,beautiful 2019 mercedes 300c convertible,31950,2019.0,https://charlottesville.craigslist.org/cto/d/charlottesville-beautiful-2019-mercedes/7781346288.html,missing,6.0,10.371927459805681,1.791759469228055
84,toyota corolla 2018,11000,2018.0,https://charlottesville.craigslist.org/cto/d/charlottesville-toyota-corolla-2018/7781210696.html,toyota,7.0,9.305650551780507,1.9459101490553132
85,2009 kia rondo ex 145k miles,3500,2009.0,https://charlottesville.craigslist.org/cto/d/louisa-2009-kia-rondo-ex-145k-miles/7780623128.html,kia,16.0,8.160518247477505,2.772588722239781
86,2002 gmc 3500 4x4 extended cab utility bed,8900,2002.0,https://charlottesville.craigslist.org/cto/d/piney-river-2002-gmc-x4-extended-cab/7780543822.html,gmc,23.0,9.093806555720231,3.1354942159291497
87,volvo 240 sedan 1992,2100,1992.0,https://charlottesville.craigslist.org/cto/d/esmont-volvo-240-sedan-1992/7780475292.html,volvo,33.0,7.649692623711514,3.4965075614664802
88,2006 hyundai azera limited,3250,2006.0,https://charlottesville.craigslist.org/cto/d/quinque-2006-hyundai-azera-limited/7780464989.html,missing,19.0,8.086410275323782,2.9444389791664403
89,2018 subaru forester 2.5i touring cvt,22000,2018.0,https://charlottesville.craigslist.org/cto/d/roseland-2018-subaru-forester-25i/7780319702.html,subaru,7.0,9.998797732340453,1.9459101490553132
90,car for sale,10000,,https://charlottesville.craigslist.org/cto/d/waynesboro-car-for-sale/7780257892.html,missing,,9.210340371976184,
91,1969 chevelle for sale or trade,28500,1969.0,https://charlottesville.craigslist.org/cto/d/barboursville-1969-chevelle-for-sale-or/7780220803.html,missing,56.0,10.257659366256743,4.02535169073515
92,1989 chevrolet corvette convertible,5000,1989.0,https://charlottesville.craigslist.org/cto/d/scottsville-1989-chevrolet-corvette/7779874166.html,chevrolet,36.0,8.517193191416238,3.58351893845611
93,2008 toyota prius,7500,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-toyota-prius/7779766112.html,toyota,17.0,8.922658299524402,2.833213344056216
94,2021 toyota rav 4 prime hybrid,38000,2021.0,https://charlottesville.craigslist.org/cto/d/earlysville-2021-toyota-rav-prime-hybrid/7779746384.html,toyota,4.0,10.545341438708522,1.3862943611198906
95,2007 2500 gmc sierra hd classic,4200,2007.0,https://charlottesville.craigslist.org/cto/d/waynesboro-gmc-sierra-hd-classic/7779516916.html,gmc,18.0,8.34283980427146,2.8903717578961645
96,2019 ram promaster 1500,18500,2019.0,https://charlottesville.craigslist.org/cto/d/crozet-2019-ram-promaster-1500/7779509064.html,missing,6.0,9.825526011066415,1.791759469228055
97,1958 ford fairlane 500,18500,1958.0,https://charlottesville.craigslist.org/cto/d/leon-1958-ford-fairlane-500/7779305738.html,ford,67.0,9.825526011066415,4.204692619390966
98,2014 honda crv ex-l cr-v,13000,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-honda-crv-ex-cr/7779300072.html,honda,11.0,9.472704636443673,2.3978952727983707
99,2005 ford f-150 2wd- not running,1000,2005.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2005-ford-150-2wd-not/7779296183.html,ford,20.0,6.907755278982137,2.995732273553991
100,2001 mercedes e320,3000,2001.0,https://charlottesville.craigslist.org/cto/d/scottsville-2001-mercedes-e320/7779120462.html,missing,24.0,8.006367567650246,3.1780538303479458
101,2007 subaru outback,2500,2007.0,https://charlottesville.craigslist.org/cto/d/oakpark-2007-subaru-outback/7778984172.html,subaru,18.0,7.824046010856292,2.8903717578961645
